Date,Region,Place,Trigger,Trigger: additional info,Weak Layer,Depth,Width,Vertical,Aspect,Elevation,Coordinates,Caught,Carried,Buried - Partly,Buried - Fully,Injured,Killed,Accident and Rescue Summary,Terrain Summary,Weather Conditions and History,Comments 1,Comments 2,Comments 3,Comments 4,Depth_Inches,Width_Inches,Vertical_Inches,Elevation_Feet
1/24/2021,Salt Lake,Powder Park,Skier,Unintentionally Triggered,Depth Hoar,2.5',50',,Northwest,"9,000'","40.642940202316, -111.636629091820",,,,,,,,,,"On the second lap skiing north west from the top of powder park three, a group of five triggered a slide. The fourth skier saw the slide break out 10 feet from the bottom of her skis came to a stop on top of the tree and screamed, ""slide, slide, slide!"" The fifth rider, a Snowboarder, stopped right above her and noticed fracture lines between your two tracks above them without further release. Confirmation shouts indicated no one was caught or buried.
 

The slide ran 200 feet to the toe of the deposition zone funneling through trees constricting to 20 feet at the narrowest waist. The skier and snowboarder skied the facet dead surface and took measurements along the way. The rollover was 37°. The depth was 2 to 3 feet breaking on facets a foot above the ground all the way to the bushes on the ground. 
 

At the bottom of the slope the group debriefed the event and returned safely from the side further assess the slide. Several heuristic traps were noted. The first was skiing in 30° terrain on a high/considerable day with a PWL. The second was skiing at the same time versus one at a time with eyes on. Finally, we realized that we always have a plan for skiing bigger days on ""higher consequence"" terrain. However, today the goal was to just do a ton of laps for fitness and fun. We did not discuss at the car no go zones for the day or have a firm plan. I am grateful that the slide broke under my skis and that I had the quickness to react. I am lucky to have received the freebie reminder that 37° is also ""high consequence"" even though it looks mellow. 

 
",,,,30.0,600.0,,9000.0
2/16/2021,Salt Lake,Emma Ridges,Explosive,Intentionally Triggered,Facets,,,,South,,"40.598313368744, -111.629891382780",,,,,,,,,,"D2
",,,,,,,
4/16/2020,Salt Lake,Big Cottonwood Canyon,Skier,,,"8""",40',,East,"10,400'",,,,,,,,,,,"I trigger this immediately with a ski cut at the very top of the bowl. Heavy new snow/ frozen surface interface. Fairly predictable slide considering new snow density from yesterday and today on top of the frozen hard pack beneath. Not enough to fully bury, plenty to ruin your day. There were also two timbersled tracks that traversed directly across the middle of the bowl. I watched them while I was ascending, and was rather surprised that nothing moved- these guys were pretty lucky not to have triggered anything while perpendicularly center punching the bowl. 
",,,,8.0,480.0,,10400.0
2/1/2023,Provo,Provo Peak,Natural,,,,,,South,"10,400'","40.246015047269, -111.549854265770",,,,,,,,,," D2 natural observed on south aspect at 10,400' between Lama Peak and Provo Peak in Bartholomew canyon. 
",,,,,,,10400.0
1/25/2012,Logan,Rodeo Grounds,Snowmobiler,Remotely Triggered,Depth Hoar,4',,,East,"9,400'","41.713289000000, -111.714606000000",,,,,,,,,,It was not triggered by a rider. Only tracks were in the flat under were  the snow deposited. No one was caught. I'd estimate 4-5' deep and  300-400' across.  We were sitting in the flat at the Rodeo Grounds when  it broke.,,,,48.0,,,9400.0
1/27/2023,Logan,Dugway,Natural,,New Snow,,,,West,"6,000'",,,,,,,,,,,"This is a typical avalanche path that hits the road a few times a year. We arrived right after it came down.. we were headed down canyon. It appeared they closed the road up logan canyon when they got word of it. 
 

couldn't see the starting zone, just the last section. Snowfall was very intense today since early morning and accompanied by a lot of wind. 

 

* There were actually two separate small soft wind slabs. One on the upper end of the steep cut and one uproad on a steep windloaded slope. Vertical 60-80', depth 6-10"", both hit the inside lane. These both occurred during a brief spike in winds around 2pm. They were isolated pockets. The road was temporarily closed so the plow drivers could clean up the debris and make the road safe and passable. (P. Pagnucco)

 
",,,I was driving so didn't get a photo ,,,,6000.0
12/2/2022,Salt Lake,Maybird Gulch,Natural,,,,,,Northeast,"10,200'","40.544697360948, -111.708437191560",,,,,,,,,,"Presumably occurred during one of the last storm cycles. Much of the east facing off hogum hogback had slid to some extent. Did not note any other recent avalanches in the upper maybird drainage. 
",,,,,,,10200.0
1/30/2021,Moab,Upper Horse Creek,Skier,Remotely Triggered,Facets,3',,600',Northeast,"11,500'","38.459017933895, -109.248239249970",,,,,,,,,,"After a dry first three weeks of January, and limited snowfall through Oct, Nov, and Dec, the underlying snowpack was very weak and faceted. Approximately 32"" of snow and 2.5"" SWE fell between Jan 22-30, with the last 8""-12"" (.6-1.0"" SWE) falling on the night of the 30th. A three day period of sustained 25-35 mph southerly winds occurred mid-week, in between storm systems.  

 

I had just finished digging a pit in the trees north of the Coyote Chute starting zone. Results were ECTP 23 on November facets about a meter down. I walked on to the northern edge of the bowl that makes up the starting zone for Coyote Chute to see if it would collapse. It did and I heard a low deep whumph followed by successive whumphs across the bowl and I could see cracks all the way across it for approximately 300'. It did not slide. At that point, the aspect changes to more easterly and the slope disappears from sight. I walked up to the ridge and discovered the avalanche another 200' beyond. All told I triggered it from 500' away. 



Snowpit dug nearby showing my ECTP 23 results on the November facets. Discussion of the snowpack in the video below. All done prior to the avalanche. 







Photo of the avalanche. Excessive hangfire prevented closer investigation and the actual width is unknown but I could see debris that made it to the valley floor. The video below details the widespread craking over the entire distance of the actual slope failure, approximately 500'. 





 
",,,,36.0,,7200.0,11500.0
2/15/2010,Salt Lake,Porter Fork,Unknown,Remotely Triggered,Surface Hoar,"10""",500',"1,000'",Northwest,"9,500'","0.000000000000, 0.000000000000",,,,,,,,,,,,,,10.0,6000.0,12000.0,9500.0
3/9/2022,Ogden,North Fork Park,Natural,,New Snow/Old Snow Interface,,,,Northeast,"8,000'","41.349079351538, -111.923634173550",,,,,,,,,,"Observed from the south gate of North Fork Park.  I observed this around 2:30pm.  Triggered at top of chute, ran full length, pulled some areas  on the side of the chute and a very large debris pile
",,,,,,,8000.0
1/5/2017,Salt Lake,Diving Board,Natural,,New Snow/Old Snow Interface,3',300',"1,250'",East,"9,800'",,,,,,,,,,,"Strong northwest winds have cross loaded the upper elevations of Bonkers and Twin Peaks.  Windslabs breaking above the Diving Board sent snow down one of the gullies which caused the entire upper portion of the run to pull out.  Slab broke on the new/old snow layer.  The old layer was hard and smooth, no graupel was seen, but could have been carried down in the slide.  Slide ran full track and entrained much of the snow from the past storm.  
Additional windslab pullout occurred skiers right in Bonkers but only ran 200 ft.  No cracking or collapsing was observed during the break up Bonkers, but I stopped well short of the saddle because of the increasing slope angle and how the top portion was wind affected.  Cold temps killed my camera, no photos this time.",,,,36.0,3600.0,15000.0,9800.0
11/13/2011,Salt Lake,West Bowl,Natural,,Facets,"18""",400',500',North,"10,000'","40.599523000000, -111.630751000000",,,,,,,,,,"This avalanche was reported a couple of times since it was originally viewed on Monday, Nov 14th.
Mark White and I took a closer look of it today.  Same deal as all the rest, facets from October were the weak layer.  The interesting thing here is, as far as we could tell, it was a natural avalanche which makes it one of very few from the Sunday slide cycle.  There were no ski tracks anywhere along the ridge to indicate it may have been human triggered.  I speculate it ran late in the storm on Sunday.",,,,18.0,4800.0,6000.0,10000.0
12/15/2019,Uintas,Uintas,Skier,,,4.5',125',,Northeast,"9,800'","40.749502319050, -111.135233031880",,,,,,,,,,"We triggered this remotely from ridge above, have seen it go before in similar conditions so was expecting this. Failed on old snow from october storms, ran to ground. Would expect a repeat. Also dug a pit 20 min before on similar aspect and noticed widespread collapsing while moving through the lower angle terrain, 
",,,,54.0,1500.0,,9800.0
3/10/2022,Logan,Christmas Tree Bowl,Snowmobiler,,New Snow/Old Snow Interface,"12""",30',400',East,"9,600'","41.918599525959, -111.675016867210",,,,,,,,,,"This small avalanche was triggered minutes before I viewed the slope from near the top of Naomi Peak.
",,,,12.0,360.0,4800.0,9600.0
2/9/2011,Uintas,Chalk Creek,Snowmobiler,Unintentionally Triggered,Surface Hoar,,600',200',Northeast,"10,200'","40.840088000000, -111.082978000000",,,,,,,,,,"Ted and I went up to work on the Windy Peak weather station and spotted a portion of the slide from across the valley. It wasn't until we got closer to the site that we realized just how big this avalanche was. The terrain isn't extreme, slope angles average 35 degrees, though there is a 37 degree mid slope breakover. The scary deal here is the slide pulled snow out along a low angle ridge which only measured 22 degrees in slope angle. In addition to this large avalanche, you can see another pocket in the foreground which broke sympathetically. This is a perfect example of just how tricky surface hoar is once buried in our snowpack.",Craig standing by the toe of the debris which piled up over 10' deep in a gully next to these trees.,"If you were near these trees watching your partner climb the slope, you'd have no place to run. Avalanches triggered on surface hoar are particularly tricky because they break very wide and can connect to low angle slopes we think are safe. ","Since this slide wasn't reported to us and no tracks entered or exited the debris, we can only speculate the avalanche was remotely triggered. Occurring on an East-Northeast facing aspect at about 10,200' the avalanche broke on preserved surface hoar. The crown face measured 2.5'-4' deep and was about 600' wide, but due to a terrain trap only ran 200' vertically into a terrain trap.",,7200.0,2400.0,10200.0
1/24/2018,Salt Lake,Pointy Peak,Skier,Unintentionally Triggered,Facets,2',100',300',Northeast,"9,300'","40.680719387273, -111.601470696060",1.0,1.0,,,,,,,,"At around 11:30am our group of 3 triggered an avalanche off Pointy Peak on the Park City Ridge Line.

Before deciding to ski two of our group dug hand pits to the surface on the slightly lower angle about 20 feet above the eventual crown line. We found the same layers and facets we have been seeing on the ridge this season but neither produced easy sheer or collapse.

The first skier entered the slope and triggered the slide on his second turn. It broke approximately 5 to 10 feet above him and around 100 feet wide. He immediately tried to cut right but was caught and carried through the smaller aspen trees. Airbag was deployed about 1/3rd of the way down the slope and skier remained on top of the slide coming to rest roughly 20 to 30 feet above the toe.

Skier was not injured and after a 20 minute search both skis were located 2 to 3 feet deep just above where the skier stopped. Fortunately it was not needed but a big thank you to the PC (Canyons) patrol for their willingness to come out and assist.

Forecaster note: A huge thank you to this party for providing a write up about his incident. It helps all of us learn more about avalanches, become safer, and hopefully come home safely every day. Also, all three people were carrying avalanche transceivers, probes and shovels.

Forecaster note: Adjacent to this slope (out of view in the trees to the lookers left in the second picture) was the scene of a fatal avalanche on Jan 31, 2016.
","The adjacent slope produced an avalanche on December 28th as seen in the photo below.

",Video discussion from the UAC that visited this site on Thursday.,Entrance and path skier took,24.0,1200.0,3600.0,9300.0
